[Activities:Rate, edge, uml:ControlFlow]
[数据语义:接口元素, generalization, uml:Class]
[数据语义:接口元素, packagedElement, uml:Class]
[数据语义:接口类型, type, Ports_Flows:FlowPort]
[数据语义:接口类型, type, additional_stereotypes:PartProperty]
[数据语义:接口类型, ownedAttribute, additional_stereotypes:ReferenceProperty]
[数据语义:接口类型, type, additional_stereotypes:ReferenceProperty]
[数据语义:接口类型, classifier, uml:Class]
[数据语义:接口类型, conveyed, uml:Class]
[数据语义:接口类型, general, uml:Class]
[数据语义:接口类型, generalization, uml:Class]
[数据语义:接口类型, ownedAttribute, uml:Class]
[数据语义:接口类型, packagedElement, uml:Class]
[数据语义:接口类型, type, uml:Class]
[架构建模扩展包:进程, ownedAttribute, Ports_Flows:FlowPort]
[架构建模扩展包:进程, type, additional_stereotypes:PartProperty]
[架构建模扩展包:进程, packagedElement, uml:Class]
[物理连接方式:以太网, end, Blocks:NestedConnectorEnd]
[物理连接方式:以太网, realizingConnector, uml:Connector]
[物理连接方式:以太网, ownedConnector, 系统及模块语义:系统上下文]
[物理连接方式:光纤, end, Blocks:NestedConnectorEnd]
[物理连接方式:光纤, realizingConnector, uml:Connector]
[物理连接方式:光纤, ownedConnector, 系统及模块语义:系统上下文]
[硬件系统:硬件构件, type, Allocations:Allocated]
[硬件系统:硬件构件, packagedElement, StandardProfileL2:modelLibrary]
[硬件系统:硬件构件, ownedAttribute, additional_stereotypes:PartProperty]
[硬件系统:硬件构件, type, additional_stereotypes:PartProperty]
[硬件系统:硬件构件, ownedAttribute, additional_stereotypes:ReferenceProperty]
[硬件系统:硬件构件, ownedAttribute, uml:Class]
[硬件系统:硬件系统, ownedAttribute, Allocations:Allocated]
[硬件系统:硬件系统, ownedAttribute, additional_stereotypes:PartProperty]
[硬件系统:硬件系统, type, additional_stereotypes:PartProperty]
[硬件系统:硬件系统, type, additional_stereotypes:ReferenceProperty]
[硬件系统:硬件系统, ownedConnector, uml:Class]
[硬件系统:硬件系统, packagedElement, uml:Class]
[系统及模块语义:外部系统, ownedAttribute, Ports_Flows:FlowPort]
[系统及模块语义:外部系统, type, additional_stereotypes:PartProperty]
[系统及模块语义:外部系统, packagedElement, uml:Class]
[系统及模块语义:系统上下文, ownedAttribute, additional_stereotypes:PartProperty]
[系统及模块语义:系统上下文, ownedBehavior, uml:Class]
[系统及模块语义:系统上下文, ownedConnector, uml:Class]
[系统及模块语义:系统上下文, packagedElement, uml:Class]
[系统及模块语义:系统上下文, ownedConnector, 物理连接方式:以太网]
[系统及模块语义:系统上下文, ownedConnector, 物理连接方式:光纤]
[系统总体:IS系统, client, Allocations:Allocate]
[系统总体:IS系统, supplier, Allocations:Allocate]
[系统总体:IS系统, ownedAttribute, Ports_Flows:FlowPort]
[系统总体:IS系统, ownedAttribute, additional_stereotypes:PartProperty]
[系统总体:IS系统, type, additional_stereotypes:PartProperty]
[系统总体:IS系统, ownedAttribute, additional_stereotypes:ValueProperty]
[系统总体:IS系统, ownedBehavior, uml:Class]
[系统总体:IS系统, packagedElement, uml:Class]
[系统总体:IS系统, allocatedFrom, 系统总体:IS系统]
[软件系统:软件模块, type, Allocations:Allocated]
[软件系统:软件模块, packagedElement, StandardProfileL2:modelLibrary]
[软件系统:软件模块, ownedAttribute, uml:Class]
[软件系统:软件系统, ownedAttribute, Allocations:Allocated]
[软件系统:软件系统, ownedAttribute, Ports_Flows:FlowPort]
[软件系统:软件系统, ownedAttribute, additional_stereotypes:PartProperty]
[软件系统:软件系统, type, additional_stereotypes:PartProperty]
[软件系统:软件系统, ownedConnector, uml:Class]
[软件系统:软件系统, packagedElement, uml:Class]
[需求类型:安全性需求, client, Requirements:DeriveReqt]
[需求类型:安全性需求, DerivedFrom, Requirements:Requirement]
[需求类型:安全性需求, SatisfiedBy, Requirements:RequirementRelated]
[需求类型:安全性需求, supplier, Requirements:Satisfy]
[需求类型:安全性需求, packagedElement, uml:Class]
